,id,op_type,district,street,rooms,area,floor,total_floors,house_seria,house_type,condition
42,5042,Buying,Pļavnieki,,Citi,,,,,,
48,5048,Buying,Ķengarags,,2,,12.0,7.0,,,All amenities
49,5049,Buying,Vecmīlgrāvis,,,9.0,99.0,9.0,,,
51,5051,Buying,Pļavnieki,,Citi,,,,,,
95,5095,Buying,Vecmīlgrāvis,,,,,,,,
138,5138,Buying,Pļavnieki,,,123.0,10.0,1.0,,,
139,5139,Buying,Ķengarags,,1,,21.0,12.0,,,Without amenities
140,5140,Buying,Imanta,,1,,99.0,9.0,,,
141,5141,Buying,Āgenskalns,,,8.0,88.0,8.0,,,
142,5142,Buying,centrs,,,9.0,9.0,9.0,,,
148,5148,Buying,Ziepniekkalns,,Citi,,,,,,
150,5150,Buying,Dārzciems,,2,,,,,,
196,5196,Buying,Dzegužkalns,Dzirciema,1,,,,103.,Brick,
270,5270,Buying,Āgenskalns,,1,,,,,,
317,5317,Buying,Zolitūde,,Citi,,,,,,
337,5337,Buying,Purvciems,,2,,,,,,All amenities
338,5338,Buying,Ķengarags,,2,,,,,,
339,5339,Buying,centrs,,2,,,,,,All amenities
340,5340,Buying,Āgenskalns,,2,,,,,,
341,5341,Buying,Pļavnieki,,2,,,,,,All amenities
344,5344,Buying,Ķengarags,,2,,,,,,
404,5404,Buying,Bolderāja,Platā,1,42.0,2.0,5.0,M. ģim.,Panel,All amenities
428,5428,Buying,Šampēteris-Pleskodāle,,,,,,,,
441,5441,Buying,Teika,,3,,,,,,
463,5463,Buying,Sarkandaugava,,,,,,,,
464,5464,Buying,Mangaļi,,,,,,,,
512,5512,Buying,Pļavnieki,,Citi,,,,,,
550,5550,Buying,Teika,,,123.0,21.0,12.0,,,
551,5551,Buying,Mežciems,Eizenšteina,,7.0,7.0,7.0,,,
552,5552,Buying,Iļģuciems,,1,99.0,99.0,9.0,,,
580,5580,Buying,Purvciems,,Citi,,,,,,
581,5581,Buying,Āgenskalns,,Citi,,,,,,
583,5583,Buying,Teika,,,,,,,,
584,5584,Buying,Mežciems,,,,,,,,
592,5592,Buying,Zolitūde,,,,,,,,
593,5593,Buying,Teika,,,,,,,,
594,5594,Buying,Purvciems,,,,,,,,
595,5595,Buying,Mežciems,,,,,,,,
596,5596,Buying,Iļģuciems,,,,,,,,
597,5597,Buying,Āgenskalns,,,,,,,,
616,5616,Buying,Purvciems,,,,,,,,
621,5621,Buying,Purvciems,,,,77.0,7.0,,,
628,5628,Buying,centrs,,3,,,,,,
634,5634,Buying,Vecrīga,,Citi,,,,,,
652,5652,Buying,,,Citi,,,,,,
662,5662,Buying,Purvciems,,Citi,,,,,,
686,5686,Buying,Purvciems,Dzelzavas 76,2,50.0,5.0,9.0,602.,Panel,All amenities
738,5738,Buying,Sarkandaugava,,,,,,,,
739,5739,Buying,Dārzciems,,2,,,,,,
782,5782,Buying,Mežaparks,,,,,,,,
821,5821,Buying,Pļavnieki,,,,,,,,
822,5822,Buying,Iļģuciems,,,,,,,,
823,5823,Buying,Āgenskalns,,,,,,,,
824,5824,Buying,Ķengarags,,,,,,,,
835,5835,Buying,centrs,,2,,,,,,
860,5860,Buying,Mežciems,,,,99.0,9.0,,,
861,5861,Buying,Ziepniekkalns,,,1.0,2.0,3.0,,,
862,5862,Buying,Vecāķi,,,4.0,44.0,4.0,,,
863,5863,Buying,Teika,,,,77.0,7.0,,,
864,5864,Buying,Zolitūde,,6,11.0,11.0,1.0,,,
882,5882,Buying,Āgenskalns,,1,99.0,99.0,9.0,,,
960,5960,Buying,Pļavnieki,,6,,,,,,
961,5961,Buying,Imanta,,6,,,,,,
962,5962,Buying,Mežciems,,6,,,,,,
1007,6007,Buying,Āgenskalns,,3,,,,,,
1041,6041,Buying,Purvciems,,3,,,,Jaun.,,All amenities
1042,6042,Buying,Mangaļi,,,,,,,,
1043,6043,Buying,Ķengarags,,,,,,,,
1044,6044,Buying,Imanta,,,,,,,,
1053,6053,Buying,Āgenskalns,Āgenskalna,3,50.0,,,P. kara,,
1101,6101,Buying,centrs,,Citi,,11.0,1.0,,,
1136,6136,Buying,centrs,,2,,,,103.,,
1166,6166,Buying,Iļģuciems,,2,,,,,,
1189,6189,Buying,Imanta,,1,99.0,99.0,9.0,,,
1227,6227,Buying,Ķengarags,,Citi,,,,,,
1238,6238,Buying,Imanta,,Citi,,,,,,
1341,6341,Buying,Teika,,3,,,,,,
1358,6358,Buying,Ķengarags,,,,77.0,7.0,,,
1359,6359,Buying,Imanta,,,,77.0,7.0,,,
1360,6360,Buying,Jugla,,,7.0,7.0,77.0,,,
1361,6361,Buying,Vecmīlgrāvis,,,,77.0,7.0,,,
1362,6362,Buying,Sarkandaugava,,,8.0,88.0,8.0,,,
1363,6363,Buying,Pļavnieki,,,,77.0,7.0,,,
1365,6365,Buying,Vecmīlgrāvis,,,,,,,,
1366,6366,Buying,Sarkandaugava,,,,,,,,
1367,6367,Buying,Daugavgrīva,,,,,,,,
1369,6369,Buying,centrs,,Citi,,,,,,
1381,6381,Buying,Iļģuciems,,,,,,,,
1382,6382,Buying,Ķengarags,,,,,,,,
1383,6383,Buying,Jugla,,Citi,,,,,,
1384,6384,Buying,Imanta,,,,,,,,
1385,6385,Buying,Purvciems,,,,,,,,
1405,6405,Buying,Daugavgrīva,,,,,,,,
1411,6411,Buying,Ziepniekkalns,,,,,,,,
1412,6412,Buying,Vecmīlgrāvis,,,,,,,,
1413,6413,Buying,Sarkandaugava,,,,,,,,
1414,6414,Buying,Purvciems,,,,,,,,
1415,6415,Buying,Pļavnieki,,,,,,,,All amenities
1416,6416,Buying,Ķengarags,,,,,,,,
1417,6417,Buying,Jugla,,,,,,,,
1418,6418,Buying,Imanta,,,,,,,,
1439,6439,Buying,Imanta,,4,,,,,,
1473,6473,Buying,Vecmīlgrāvis,,2,,,,,,
1475,6475,Buying,Ķengarags,,2,,,,,,
1476,6476,Buying,Imanta,,2,,,,,,
1482,6482,Buying,,,2,50.0,,,,,
1497,6497,Buying,Purvciems,,Citi,,,,,,
1517,6517,Buying,Daugavgrīva,Parādes,2,,21.0,12.0,,,
1518,6518,Buying,Dārzciems,,2,,77.0,7.0,,,All amenities
1535,6535,Buying,centrs,,,,77.0,7.0,,,
1538,6538,Buying,Ziepniekkalns,,,11.0,11.0,,,,
1564,6564,Buying,Sarkandaugava,,6,,,,,,
1565,6565,Buying,Vecmīlgrāvis,,6,,,,,,
1566,6566,Buying,Ziepniekkalns,,,8.0,88.0,8.0,,,
1576,6576,Buying,Jugla,,,,,,,,
1580,6580,Buying,Imanta,,3,,,,,,
1581,6581,Buying,Purvciems,,,,,,,,
1582,6582,Buying,Mežciems,,2,,,,,,
1605,6605,Buying,Purvciems,,1,99.0,99.0,9.0,,,
1606,6606,Buying,Šampēteris-Pleskodāle,,,1.0,1.0,1.0,,,
1607,6607,Buying,Pļavnieki,,,10.0,9.0,1.0,,,
1608,6608,Buying,Ķengarags,,,11.0,1.0,1.0,,,All amenities
1609,6609,Buying,Jugla,,1,99.0,99.0,9.0,,,
1610,6610,Buying,Mangaļi,,,4.0,44.0,4.0,,,
1611,6611,Buying,Zolitūde,,2,,9.0,1.0,,Panel,All amenities
1612,6612,Buying,Imanta,,,1.0,2.0,3.0,,,
1613,6613,Buying,Zasulauks,,,7.0,77.0,7.0,,,
1622,6622,Buying,centrs,,2,,,,,,
1630,6630,Buying,Jugla,,,,,,,,
1698,6698,Buying,Zolitūde,Imantas 16. l.,3,78.0,7.0,10.0,119.,,
1719,6719,Buying,Imanta,,3,,,,,,
1741,6741,Buying,Vecmīlgrāvis,Melīdas,1,42.0,2.0,5.0,M. ģim.,Panel,All amenities
1803,6803,Buying,Āgenskalns,,,,,,,,
1823,6823,Buying,centrs,,1,,,,,,
1872,6872,Buying,,,Citi,,,,,,
