,id,op_type,district,street,rooms,area,floor,total_floors,house_seria,house_type,condition
0,5000,For rent,Purvciems,Dzelzavas 93,1,27.0,3.0,5.0,LT proj.,Brick-Panel,All amenities
1,5001,For rent,Ziepniekkalns,Ozolciema 32,2,50.0,7.0,9.0,602.,Panel,All amenities
4,5004,For rent,Teika,Zemgala gatve 80,3,76.0,3.0,12.0,Jaun.,Masonry,All amenities
5,5005,For rent,centrs,Ģertrūdes 16,2,40.0,3.0,6.0,P. kara,Masonry,All amenities
7,5007,For rent,Imanta,Kurzemes pr. 46,2,49.0,3.0,5.0,LT proj.,Panel,All amenities
8,5008,For rent,centrs,Avotu 7,2,48.0,5.0,5.0,P. kara,Brick,All amenities
9,5009,For rent,Jugla,Juglas 53,2,45.0,2.0,5.0,Hrušč.,Panel,All amenities
17,5017,For rent,Ziepniekkalns,Ozolciema 54,1,44.0,4.0,9.0,M. ģim.,Panel,All amenities
20,5020,For rent,Bolderāja,Stagaru 4,2,50.0,2.0,5.0,Specpr.,Panel,All amenities
22,5022,For rent,centrs,Čaka 33,2,40.0,4.0,6.0,P. kara,Masonry,All amenities
23,5023,For rent,centrs,Bruņinieku 115,2,45.0,2.0,4.0,Renov.,Masonry,All amenities
24,5024,For rent,Grīziņkalns,Alauksta 4a,1,26.0,2.0,3.0,Renov.,Wood,All amenities
25,5025,For rent,Ziepniekkalns,Kartupeļu 47,2,56.0,8.0,9.0,Specpr.,Brick,All amenities
26,5026,For rent,Bolderāja,Gobas 16,1,34.0,3.0,5.0,103.,Brick-Panel,All amenities
30,5030,For rent,Dzegužkalns,Purva 25,1,29.0,4.0,5.0,LT proj.,Panel,All amenities
31,5031,For rent,Imanta,Slokas 130a,2,60.0,3.0,8.0,Jaun.,Masonry,All amenities
33,5033,For rent,centrs,Indrānu 13,1,34.0,5.0,5.0,LT proj.,Brick-Panel,All amenities
35,5035,For rent,Purvciems,Ieriķu 58,1,43.0,9.0,9.0,Specpr.,Brick,All amenities
36,5036,For rent,Ķīpsala,Balasta d. 72,2,86.0,2.0,4.0,Jaun.,Masonry,All amenities
37,5037,For rent,centrs,Barona 14,1,40.0,4.0,5.0,Renov.,Masonry,All amenities
38,5038,For rent,centrs,Bruņinieku 64,2,36.0,3.0,3.0,P. kara,Brick,All amenities
43,5043,For rent,centrs,Republikas laukums 3,1,46.0,4.0,7.0,Jaun.,Masonry,All amenities
44,5044,For rent,Purvciems,Ieriķu 58,1,40.0,2.0,5.0,Specpr.,Brick-Panel,All amenities
45,5045,For rent,centrs,Asara 15,1,38.0,5.0,2.0,Specpr.,Brick,All amenities
46,5046,For rent,Purvciems,Pūces 19,2,46.0,2.0,5.0,Jaun.,Panel,All amenities
47,5047,For rent,Krasta r-ns,Lubānas 56,1,36.0,6.0,9.0,602.,Panel,All amenities
50,5050,For rent,Mangaļi,Ezera 6,2,40.0,1.0,2.0,Renov.,Wood,All amenities
52,5052,For rent,Jugla,Baltezera 1,2,49.0,2.0,5.0,LT proj.,Brick-Panel,All amenities
53,5053,For rent,centrs,Asara 12,3,50.0,4.0,5.0,Renov.,Masonry,All amenities
54,5054,For rent,Klīversala,Klīveru 1,1,26.0,4.0,4.0,P. kara,Masonry,All amenities
57,5057,For rent,Vecmīlgrāvis,Rīnūžu 11,2,53.0,5.0,5.0,103.,Brick-Panel,All amenities
60,5060,For rent,Pļavnieki,Jasmuižas 15,1,32.0,2.0,9.0,602.,Panel,All amenities
66,5066,For rent,centrs,Pērnavas 10,1,32.0,5.0,5.0,Hrušč.,Brick,All amenities
67,5067,For rent,Purvciems,Sesku 26,1,42.0,3.0,5.0,M. ģim.,Brick-Panel,All amenities
71,5071,For rent,Ziepniekkalns,Ozolciema 18,1,50.0,3.0,9.0,119.,Panel,All amenities
72,5072,For rent,Ziepniekkalns,Bērzupes 23,1,31.0,2.0,5.0,LT proj.,Panel-Brick,All amenities
76,5076,For rent,Mežaparks,Viestura pr. 95,2,42.0,8.0,11.0,Jaun.,Brick,All amenities
78,5078,For rent,Jugla,Veldres 32,1,33.0,12.0,12.0,Specpr.,Brick-Panel,All amenities
79,5079,For rent,Sarkandaugava,Tilta 5,Citi,76.0,2.0,4.0,P. kara,Masonry,All amenities
82,5082,For rent,Maskavas priekšpilsēta,Daugavpils 76,1,25.0,5.0,6.0,P. kara,Brick,All amenities
83,5083,For rent,Āgenskalns,Kristapa 8,1,18.0,1.0,4.0,M. ģim.,Brick,All amenities
85,5085,For rent,centrs,Barona 76,3,67.0,2.0,6.0,Renov.,Masonry,All amenities
86,5086,For rent,centrs,Tallinas 65,3,83.0,5.0,5.0,Renov.,Masonry,All amenities
87,5087,For rent,Ķengarags,Prūšu 3,1,30.0,5.0,5.0,LT proj.,Panel,All amenities
89,5089,For rent,centrs,Klijānu 2e,1,30.0,2.0,9.0,Renov.,Brick-Panel,All amenities
90,5090,For rent,Āgenskalns,Āgenskalna 22,2,41.0,3.0,5.0,Hrušč.,Brick,All amenities
92,5092,For rent,centrs,Čaka 96,2,62.0,3.0,5.0,Jaun.,Brick-Panel,All amenities
93,5093,For rent,centrs,Ausekļa 7,2,77.0,3.0,6.0,Renov.,Brick,All amenities
97,5097,For rent,Imanta,M. Krūmu 6,1,29.0,4.0,5.0,LT proj.,Panel,All amenities
99,5099,For rent,centrs,Lāčplēša 147,1,20.0,2.0,4.0,Jaun.,Brick,All amenities
100,5100,For rent,Purvciems,Marsa g. 12,1,26.0,3.0,5.0,LT proj.,Panel,All amenities
105,5105,For rent,centrs,Grostonas 17,3,88.0,7.0,8.0,Jaun.,Masonry,All amenities
106,5106,For rent,centrs,Ģertrūdes 84,2,53.0,3.0,6.0,P. kara,Masonry,All amenities
110,5110,For rent,Krasta r-ns,Maskavas 237,1,30.0,5.0,5.0,Hrušč.,Brick,All amenities
113,5113,For rent,Imanta,Anniņmuižas bulvāris 43,2,45.0,9.0,24.0,Jaun.,Brick-Panel,All amenities
114,5114,For rent,Dzegužkalns,Dzirciema 33,3,61.0,4.0,5.0,LT proj.,Panel,All amenities
115,5115,For rent,Pļavnieki,Zemes 9,1,36.0,1.0,9.0,M. ģim.,Panel,All amenities
118,5118,For rent,Pļavnieki,Ilūkstes 55,1,24.0,2.0,1.0,Priv. m.,Masonry,All amenities
119,5119,For rent,Ziepniekkalns,Valdeķu 53,2,55.0,1.0,9.0,119.,Panel,All amenities
122,5122,For rent,Zolitūde,Ruses 3,2,58.0,2.0,9.0,119.,Panel,All amenities
123,5123,For rent,centrs,Elizabetes 10c,1,45.0,1.0,3.0,Jaun.,Masonry,All amenities
125,5125,For rent,Ziepniekkalns,Graudu 30,1,36.0,1.0,2.0,Renov.,Masonry,All amenities
126,5126,For rent,centrs,Eksporta 8,5,150.0,1.0,2.0,Jaun.,Masonry,All amenities
127,5127,For rent,Vecmīlgrāvis,Emmas 19,2,48.0,4.0,5.0,LT proj.,Panel,All amenities
128,5128,For rent,Grīziņkalns,Terēzes 2,1,30.0,1.0,3.0,Staļina,Masonry,All amenities
132,5132,For rent,Daugavgrīva,Zvīņu 6,1,28.0,3.0,5.0,LT proj.,Brick,All amenities
136,5136,For rent,Purvciems,Vējavas 12,1,39.0,4.0,5.0,M. ģim.,Brick-Panel,All amenities
144,5144,For rent,Ziepniekkalns,Ozolciema 32,2,50.0,8.0,9.0,602.,Panel,All amenities
146,5146,For rent,Ziepniekkalns,Vadakstes 1,2,47.0,1.0,1.0,Priv. m.,Masonry,All amenities
149,5149,For rent,Pļavnieki,Ilūkstes 39,1,40.0,3.0,5.0,Specpr.,Brick-Panel,All amenities
151,5151,For rent,centrs,Grostonas 17,3,88.0,7.0,7.0,Jaun.,Brick-Panel,All amenities
152,5152,For rent,centrs,Brīvības 115,1,28.0,2.0,3.0,P. kara,Masonry,All amenities
153,5153,For rent,centrs,Sapieru 3b,1,21.0,3.0,5.0,Jaun.,Panel,All amenities
