,id,op_type,district,street,rooms,area,floor,total_floors,house_seria,house_type,condition
2,5002,For sale,centrs,Ieroču 6,2,33.0,1.0,2.0,P. kara,Wood,Partial amenities
3,5003,For sale,Ķengarags,Maskavas 305,2,50.0,5.0,5.0,LT proj.,Panel,All amenities
6,5006,For sale,Ķengarags,Lokomotīves 20,2,37.0,5.0,5.0,Specpr.,Brick,All amenities
10,5010,For sale,Mangaļi,Mores 3,2,46.0,4.0,5.0,Hrušč.,Panel,All amenities
11,5011,For sale,Jugla,Baltezera 1,3,58.0,4.0,5.0,Specpr.,Brick,All amenities
12,5012,For sale,Mežciems,Gaiļezera 4,2,50.0,1.0,9.0,602.,Panel,All amenities
13,5013,For sale,Maskavas priekšpilsēta,Maskavas 291 k1,3,60.0,2.0,5.0,LT proj.,Panel,All amenities
14,5014,For sale,Zolitūde,Zolitūdes 46/2,1,46.0,9.0,9.0,119.,Panel,All amenities
15,5015,For sale,Mežciems,Celmu 5,2,36.0,1.0,5.0,LT proj.,Panel,All amenities
16,5016,For sale,centrs,Krāsotāju 25,2,36.0,5.0,5.0,P. kara,Masonry,All amenities
18,5018,For sale,Ķengarags,Maskavas 268/5,3,60.0,3.0,5.0,Hrušč.,Panel,All amenities
19,5019,For sale,Mežciems,Eizenšteina 57,3,62.0,6.0,9.0,602.,Panel,All amenities
21,5021,For sale,Purvciems,Dzelzavas 13,2,44.0,4.0,5.0,Hrušč.,Brick,Without amenities
27,5027,For sale,Dreiliņi,Valtera 5,4,78.0,1.0,9.0,602.,Panel,All amenities
28,5028,For sale,Ķengarags,Prūšu 22,2,42.0,3.0,5.0,Hrušč.,Brick,All amenities
29,5029,For sale,Pļavnieki,Dzeņu 12,1,35.0,1.0,9.0,602.,Brick-Panel,All amenities
32,5032,For sale,Imanta,Slokas 130a,2,62.0,3.0,5.0,Jaun.,Masonry,All amenities
34,5034,For sale,Ķengarags,Festivāla 1,3,55.0,3.0,5.0,Specpr.,Brick,All amenities
39,5039,For sale,centrs,Tērbatas 46,3,85.0,3.0,6.0,P. kara,Brick,All amenities
40,5040,For sale,Teika,Brīvības gatve 313,3,79.0,3.0,5.0,Specpr.,Brick-Panel,All amenities
41,5041,For sale,Jugla,Murjāņu 38,2,45.0,2.0,5.0,Hrušč.,Panel,All amenities
55,5055,For sale,centrs,Tērbatas 65,3,91.0,4.0,6.0,P. kara,Masonry,All amenities
56,5056,For sale,centrs,Artilērijas 1,3,96.0,3.0,6.0,P. kara,Masonry,All amenities
58,5058,For sale,Āgenskalns,Kalnciema 106a,2,68.0,2.0,4.0,Jaun.,Masonry,All amenities
59,5059,For sale,Zasulauks,Kalnciema 106a,2,68.0,2.0,4.0,Jaun.,Masonry,All amenities
61,5061,For sale,Pļavnieki,Salnas 22,1,40.0,4.0,5.0,M. ģim.,Panel,All amenities
62,5062,For sale,Mežaparks,Viestura pr. 47,1,27.0,7.0,9.0,Specpr.,Brick,All amenities
63,5063,For sale,centrs,Bruņinieku 147,5,83.0,1.0,2.0,P. kara,Wood,Partial amenities
64,5064,For sale,Āgenskalns,Kuldīgas 10,1,17.5,1.0,2.0,P. kara,Wood,Partial amenities
65,5065,For sale,Jugla,Kvēles 27,2,45.0,1.0,5.0,LT proj.,Panel,All amenities
68,5068,For sale,Imanta,Kurzemes pr. 102,2,48.0,1.0,5.0,LT proj.,Panel,All amenities
69,5069,For sale,Čiekurkalns,Čiekurkalna 2. l. 28,1,24.0,2.0,2.0,P. kara,Wood,Partial amenities
70,5070,For sale,Ziepniekkalns,Valdeķu 53,3,75.0,9.0,10.0,119.,Panel,All amenities
73,5073,For sale,Pļavnieki,Lubānas 129,1,41.0,1.0,9.0,M. ģim.,Panel,All amenities
74,5074,For sale,Āgenskalns,Grīna bulv. 13,2,47.0,3.0,5.0,Specpr.,Brick,All amenities
75,5075,For sale,centrs,Pētersalas 2,5,144.0,1.0,5.0,Specpr.,Masonry,All amenities
77,5077,For sale,centrs,Ādmiņu 6,2,36.0,2.0,2.0,P. kara,Masonry,Partial amenities
84,5084,For sale,Daugavgrīva,Slimnīcas 6,2,53.0,2.0,5.0,103.,Brick-Panel,All amenities
88,5088,For sale,centrs,Avotu 4,2,41.0,4.0,5.0,Renov.,Masonry,All amenities
91,5091,For sale,Bolderāja,Silikātu 1/2,2,41.77,1.0,3.0,Hrušč.,Brick,All amenities
94,5094,For sale,Imanta,Anniņmuižas bulvāris 38,2,60.0,2.0,17.0,Jaun.,Masonry,All amenities
96,5096,For sale,Āgenskalns,Mārupes 47,3,68.0,3.0,5.0,Specpr.,Brick-Panel,All amenities
98,5098,For sale,Dreiliņi,Kaivas 33/1,3,86.0,4.0,4.0,Jaun.,Panel-Brick,All amenities
101,5101,For sale,Iļģuciems,Grīvas 11,3,55.0,3.0,5.0,Hrušč.,Brick,All amenities
102,5102,For sale,Sarkandaugava,Sarkandaugavas 11,2,50.0,6.0,9.0,602.,Panel,All amenities
103,5103,For sale,Imanta,Jūrmalas g. 99,3,63.0,5.0,9.0,602.,Panel,All amenities
104,5104,For sale,Ziepniekkalns,Ozolciema 32/3,2,50.0,1.0,9.0,602.,Panel,All amenities
107,5107,For sale,Berģi,Berģu 9,3,58.0,1.0,4.0,Hrušč.,Brick,Partial amenities
108,5108,For sale,Bolderāja,Silikātu 1k2,2,44.0,1.0,3.0,Hrušč.,Brick,All amenities
109,5109,For sale,Ziepniekkalns,Staburaga 3,2,48.0,3.0,3.0,Hrušč.,Brick,All amenities
111,5111,For sale,Ķengarags,Maskavas 279,3,55.0,5.0,5.0,LT proj.,Brick,All amenities
112,5112,For sale,Purvciems,Madonas 19,1,46.0,6.0,9.0,119.,Panel,All amenities
116,5116,For sale,Purvciems,Brantkalna 12,3,76.0,8.0,9.0,119.,Panel,All amenities
117,5117,For sale,Purvciems,Nīcgales 36,3,82.0,4.0,5.0,Jaun.,Masonry,All amenities
120,5120,For sale,Šķirotava,Krustpils 75,2,49.0,3.0,3.0,Specpr.,Brick,All amenities
121,5121,For sale,Dārzciems,Lubānas 56,3,61.0,7.0,9.0,467.,Panel,All amenities
124,5124,For sale,Sarkandaugava,Viestura pr. 95,2,43.0,5.0,11.0,Jaun.,Brick-Panel,All amenities
129,5129,For sale,Ziepniekkalns,Valdeķu 54,3,62.0,8.0,9.0,602.,Panel,All amenities
